# y+ ()       
# Time        	patch         	min           	max           	average       
250           	wall-l1	1.646649e+01	2.589584e+01	1.862263e+01
250           	airfoil-l2	7.675170e+01	1.455327e+02	1.247611e+02
250           	wall-l2	1.544826e+01	1.680307e+01	1.593737e+01
250           	wall-h2	1.575463e+01	1.812857e+01	1.659903e+01
250           	airfoil-h2	7.671034e+01	1.443022e+02	1.245388e+02
250           	wall-h1	1.678657e+01	1.868418e+01	1.806101e+01
250           	airfoil-h1	1.364107e+02	3.480732e+02	2.177071e+02
275           	airfoil-l1	1.377613e+02	3.446575e+02	2.186225e+02
275           	wall-l1	1.400187e+01	2.091816e+01	1.847845e+01
275           	airfoil-l2	7.710723e+01	1.455458e+02	1.248689e+02
275           	wall-l2	1.419320e+01	1.844610e+01	1.659504e+01
275           	wall-h2	1.528044e+01	1.838253e+01	1.693055e+01
275           	airfoil-h2	7.700167e+01	1.443172e+02	1.246572e+02
275           	wall-h1	1.624598e+01	1.897156e+01	1.808324e+01
275           	airfoil-h1	1.364222e+02	3.480750e+02	2.177158e+02
300           	airfoil-l1	1.377681e+02	3.446652e+02	2.186287e+02
300           	wall-l1	1.179607e+01	3.058397e+01	1.801397e+01
300           	airfoil-l2	7.722909e+01	1.455537e+02	1.249101e+02
300           	wall-l2	1.411683e+01	2.046704e+01	1.785125e+01
300           	wall-h2	1.499636e+01	1.882634e+01	1.764404e+01
300           	airfoil-h2	7.713750e+01	1.443270e+02	1.247067e+02
300           	wall-h1	1.514336e+01	1.886683e+01	1.724066e+01
300           	airfoil-h1	1.364304e+02	3.480800e+02	2.177225e+02
325           	airfoil-l1	1.377733e+02	3.446769e+02	2.186346e+02
325           	wall-l1	1.309099e+01	3.090819e+01	1.594733e+01
325           	airfoil-l2	7.726572e+01	1.455615e+02	1.249309e+02
325           	wall-l2	1.672806e+01	2.109804e+01	1.818722e+01
325           	wall-h2	1.616128e+01	1.842371e+01	1.782450e+01
325           	airfoil-h2	7.718664e+01	1.443357e+02	1.247335e+02
325           	wall-h1	1.401593e+01	1.794916e+01	1.586718e+01
325           	airfoil-h1	1.364359e+02	3.480853e+02	2.177286e+02
350           	airfoil-l1	1.377756e+02	3.446853e+02	2.186388e+02
350           	wall-l1	1.257289e+01	2.068159e+01	1.510036e+01
350           	airfoil-l2	7.728622e+01	1.455647e+02	1.249416e+02
350           	wall-l2	1.585587e+01	1.909611e+01	1.747180e+01
350           	wall-h2	1.602910e+01	1.773490e+01	1.701201e+01
350           	airfoil-h2	7.721755e+01	1.443398e+02	1.247477e+02
350           	wall-h1	1.305755e+01	1.607242e+01	1.469981e+01
350           	airfoil-h1	1.364401e+02	3.480909e+02	2.177333e+02
375           	airfoil-l1	1.377791e+02	3.446904e+02	2.186428e+02
375           	wall-l1	8.785190e+00	3.207772e+01	1.389535e+01
375           	airfoil-l2	7.729644e+01	1.455686e+02	1.249497e+02
375           	wall-l2	1.439131e+01	1.881112e+01	1.647370e+01
375           	wall-h2	1.467393e+01	1.633940e+01	1.571331e+01
375           	airfoil-h2	7.723633e+01	1.443446e+02	1.247581e+02
375           	wall-h1	1.146290e+01	1.458813e+01	1.371346e+01
375           	airfoil-h1	1.364437e+02	3.480984e+02	2.177384e+02
400           	airfoil-l1	1.377819e+02	3.446925e+02	2.186461e+02
400           	wall-l1	3.588469e+00	1.780071e+01	1.306033e+01
400           	airfoil-l2	7.730356e+01	1.455720e+02	1.249551e+02
400           	wall-l2	1.343834e+01	1.816405e+01	1.513984e+01
400           	wall-h2	1.353053e+01	1.514322e+01	1.443160e+01
400           	airfoil-h2	7.724584e+01	1.443478e+02	1.247648e+02
400           	wall-h1	4.267704e+00	1.404171e+01	1.284907e+01
400           	airfoil-h1	1.364466e+02	3.481069e+02	2.177427e+02
425           	airfoil-l1	1.377844e+02	3.446989e+02	2.186503e+02
425           	wall-l1	8.607369e+00	2.250195e+01	1.392131e+01
425           	airfoil-l2	7.730675e+01	1.455753e+02	1.249596e+02
425           	wall-l2	1.176526e+01	1.588966e+01	1.394148e+01
425           	wall-h2	1.318581e+01	1.418040e+01	1.367993e+01
425           	airfoil-h2	7.725270e+01	1.443511e+02	1.247700e+02
425           	wall-h1	6.707590e+00	1.600543e+01	1.293083e+01
425           	airfoil-h1	1.364492e+02	3.481133e+02	2.177464e+02
450           	airfoil-l1	1.377866e+02	3.447026e+02	2.186535e+02
450           	wall-l1	7.602662e+00	3.174110e+01	1.361080e+01
450           	airfoil-l2	7.731134e+01	1.455782e+02	1.249632e+02
450           	wall-l2	8.961778e+00	1.522810e+01	1.320587e+01
450           	wall-h2	1.280011e+01	1.369304e+01	1.333130e+01
450           	airfoil-h2	7.725798e+01	1.443540e+02	1.247737e+02
450           	wall-h1	4.269300e+00	2.686155e+01	1.288886e+01
450           	airfoil-h1	1.364514e+02	3.481186e+02	2.177497e+02
475           	airfoil-l1	1.377890e+02	3.447028e+02	2.186559e+02
475           	wall-l1	8.528614e+00	1.764896e+01	1.318395e+01
475           	airfoil-l2	7.731257e+01	1.455803e+02	1.249661e+02
475           	wall-l2	8.822394e+00	1.535704e+01	1.370410e+01
475           	wall-h2	1.267424e+01	1.416917e+01	1.322780e+01
475           	airfoil-h2	7.725962e+01	1.443566e+02	1.247765e+02
475           	wall-h1	7.686193e+00	2.367313e+01	1.259686e+01
475           	airfoil-h1	1.364536e+02	3.481241e+02	2.177527e+02
500           	airfoil-l1	1.377906e+02	3.447029e+02	2.186577e+02
500           	wall-l1	6.750883e+00	2.993238e+01	1.377334e+01
500           	airfoil-l2	7.731397e+01	1.455830e+02	1.249683e+02
500           	wall-l2	1.214659e+01	1.559278e+01	1.396025e+01
500           	wall-h2	1.302095e+01	1.431330e+01	1.353235e+01
500           	airfoil-h2	7.726100e+01	1.443578e+02	1.247783e+02
500           	wall-h1	1.018799e+00	1.648805e+01	1.306180e+01
500           	airfoil-h1	1.364549e+02	3.481287e+02	2.177548e+02
